"#Sales/#Orders","#מכירות/#הזמנות"
"Date","תאריך"
"Delete","מחק"
"Delete Account","מחק חשבון"
"Delete Banner","מחק באנר"
"Delete File","מחק קובץ"
"Delete Withdrawal","מחק העברת תשלום"
"Detect By Cookie","זהה לפי עוגיה (Cookie)"
"Detect By Iframe","זהה לפי Iframe"
"Detect By Software","זהה לפי תוכנה"
"Detect Proxy By Header","זהה פרוקסי לפי הדר"
"Detect Proxy By IP Bank","זהה פרוקסי לפי בנק איי פי"
"Detect Proxy By gethostbyaddr Function","זהה פרוקסי לפי פקודת getgostbyaddr"
"Detect by Ip address","זהה כתובת איי פי"
"Disabled","לא פעיל"
"Discount","הנחה"
"Discount Configuration","הגדרות הנחה"
"Discount Type","סוג הנחה"
"Discount Type (from 2nd order)","סוג הנחה (מההזמנה השניה ומעלה)"
"Discount Value","גובה הנחה"
"Discount Value (from 2nd order)","גובה הנחה (מההזמנה השניה ומעלה)"
"Discount on","הנחה על"
"Discount displayed","הנחה הוצגה"
"Discount policy","תנאי הנחה"
"Edit","עריכה"
"Edit Account ","ערוך חשבון "
"Edit Banner ","ערוך באנר "
"Edit Customer","ערוך לקוח"
"Edit Withdrawal for ","ערוך העברת תשלום עבור "
"Edit Withdrawals","ערוך העברת תשלום"
"Email","מייל"
"Email Address","כתובת אימייל"
"Email Configuration","הגדרות אימייל"
"Email template of Payment verification","אימות מייל תשלום"
"Email template sent to admin when a new affiliate registers","מייל נשלח לאדמין בעת רישום שותף חדש"
"Email template sent to admin when a transaction is created","מייל נשלח לאדמין בכל עסקה חדשה"
"Email template sent to admin when an affiliate requests withdrawal","מייל נשלח לאדמין כאשר שותף מבקש ביצוע העברת תשלום"
"Email template sent to affiliate account when a transaction is changed","מייל נשלח לשותף כאשר עסקה משתנה"
"Send email to affiliates when transaction status is changed","שלח מייל לשותף שסטטוס עסקה משתנה"
"Email template sent to affiliates when commission of a transaction is reduced","מייל נשלח לשותף כאשר עמלה של עסקה מופחתת"
"Email template sent to affiliate when a transaction is created","מייל נשלח לשותף בכל עסקה חדשה"
"Email template sent to affiliate when withdrawal is processed","מייל נשלח לשותף כאשר בקשת תשלום מבוצעת"
"Email template sent to newly approved affiliates","מייל נשלח לשותפים חדשים שאושרו"
"Email template sent to newly registered affiliates","מייל נשלח לשותפים חדשים שנרשמו"
"Email: ","אימייל: "
"Enabled","פעיל"
"Enter your friends' emails here (separated by comma)","הכנס את כתובות המייל של החברים שלך (מופרדות בפסיק)"
"Estimated Fee","Estimated Fee"
"Excluding Fee","Excluding Fee"
"The number of days for admin to store cookies of this program. Affiliates and invited customers can receive commission and discount for purchases made through affiliate link within this time.","מספר הימים לשתילת העוגיה - קוקי - עבור תוכנית זו. שותפים ולקוחות שהוזמנו יוכלו לממש את ההנחה בביצוע ההזמנה דרך לינק השותף במסגרת תקופת הזמן שנקבעה כאן."
"FORWARDED","הועבר"
"Facebook","פייסבוק"
"Fax","פקס"
"Fee","Fee"
"Fee: ","Fee: "
"Filter:","סינון:"
"First Name","שם פרטי"
"Fixed","קבוע"
"Flash","Flash"
"From","מאת"
"From Date","מתאריך"
"General Configuration","הגדרות כלליות"
"General Information","פרטים כלליים"
"Get Affiliate Link","קבל לינק שותף"
"Get Link","קבל לינק"
"Getting new captcha","קפצ'ה חדשה"
"Global","גלובל"
"Gmail","Gmail"
"Google+","Google+"
"Group","קבוצה"
"History","היסטוריה"
"History Withdrawal","היסטוריית העברות"
"History transaction","היסטוריית עסקאות"
"Holding period","תקופת אחזקות"
"ID","מזהה ID"
"IP Reset Time (days)","שחזור כתובת האיי פי (ימים)"
"If "No", system will be faster","אם "לא" המערכת תהיה מהירה יותר"
"Image","תמונה"
"Import Customer Info","ייבא את פרטי הלקוח"
"Including %s tax","כולל %s מע&#8221;מ"
"Including Fee","Including Fee"
"Including fee","Including fee"
"Please re-enter your current password.","אנא הזן שוב את סיסמתך הנוכחית."
"Invalid email address","כתובת מייל שגויה"
"Invalid email address.","כתובת מייל שגויה."
"This item does not exist","הפריט אינו קיים"
"Items %s to %s of %s total","Items %s to %s of %s total"
"Landing Page","טוען עמוד"
"Last Name","שם משפחה"
"Level %d","מדרגה %d"
"Lifetime Sales Commission","עמלה מכירות לתמיד"
"Link","לינק"
"Link: ","לינק: "
"Loading...","טוען..."
"Login","התחברות"
"Please enter your username and password.","אנא הזן את שם המשתמש והסיסמא שלך."
"Login or create an account","התחבר או צור חשבון חדש"
"Logout","יציאה מהחשבון"
"Magestore Extension","Magestore Extension"
"Create your own personal link","צור את הלינק האישי שלך"
"Manage Accounts","ניהול חשבונות"
"Manage Banners","ניהול באנרים"
"Manage Payments","ניהול תשלומים"
"Manage Transactions","ניהול עסקאות"
"Manage Withdrawals","ניהול העברות"
"Manual","ידני"
"Material page using CMS","Material page using CMS"
"Referring Materials","Referring Materials"
"Method: ","שיטה: "
"The minimum balance required to request withdrawal is %s","היתרה המינימלית לבקשת תשלום הינה %s"
"Monthly","חודשי"
"Monthly additional commissions","עמלות חודשיות נוספות"
"My Affiliate Account","חשבון השותף שלי"
"My Balance","היתרה שלי"
"My Balance: ","היתרה שלי: "
"N/A","N/A"
"Name","שם"
"Need admin's approval","צריך אישור מנהל האתר"
"New Account","חשבון חדש"
"New Address","כתובת חדשה"
"New Banner","באנר חדש"
"New Password","סיסמא חדשה"
"New Withdrawal","בקשת תשלום חדשה"
"The New Password field is empty. Please enter a new password.","שדה סיסמא חדשה ריק, אנא הזמן סיסמא חדשה."
"Next","הבא"
"No","לא"
"No.","מספר"
"Not Now","לא כעת"
"Not including fee","Not including fee"
"Not verified","לא מאושר"
"Notification after signing up","הודעות אחרי החברות"
"OUR PROGRAM","התוכנית שלנו"
"OUR PROGRAMS","התוכניות שלנו"
"On Hold","בהשהיה"
"On product pages","בדפי מוצר"
"On shopping cart page","בסל קניה"
"Only Affiliate program Discount","רק הנחת תוכנית שותף"
"Only Shopping cart Discount","רק הנחת סל קניה"
"For creating a new affiliate account which does not exist in customer database","ליצירת חשבון שותף חדש שאינו קיים בממסד ניתונים של הלקוח"
"Or retrieve contacts from","או ייבא אנשי קשר מ"
"Order","הזמנה"
"Order Number","מספר הזמנה"
"Page:","עמוד:"
"PayPal Email Address","כתובת מייל של הפייפאל"
"Paid by Affiliate Credit","שולם בקרדיט של השותף"
"The payment has been made successfully.","התשלום בוצע בהצלחה."
"Password","סיסמא"
"Password can be changed by an affiliate.","שותף יכול לשנות את הסיסמא."
"Path","נתיב"
"Pay","שלם"
"Pay Now","שלם עכשיו"
"Pay commission","שלם עמלה"
"Pay for Order","תשלום פר הזמנה"
"Pay for Order: ","תשלום עבור הזמנה: "
"Net profit of sale (Pay per Profit)","רווח נקי ממכירה (תשלום לפי רווח)"
"Value of items sold (Pay per Sale)","ערך פריטים שנמכרו (תשלום לפי מכירה)"
"Pay per Sales/ Profit Commission","תשלום לפי מכירה/ עמלת רווח"
"Pay-per-Profit","שלם לפי רווח"
"Pay-per-Sale","שלם לפי מכירה"
"Payer","משלם"
"Payment","תשלום"
"Payment Email","כתובת מייל תשלום"
"Payment Info","פרטי תשלום"
"Payment Information","תיאור תשלום"
"Payment Manager","ניהול תשלום"
"Payment Method","שיטת תשלום"
"Payment Method Information","פרטי שיטת תשלום"
"New Payment","תשלום חדש"
"Payment by PayPal API","תשלום דרך PayPal API"
"The required payment model is an abstract of class %s!","The required payment model is an abstract of class %s!"
"Payout","תשלום"
"Payout Requirements","תשלום נדרש"
"Payout for ","שלם עבור "
"The minimum balance in affiliate account to request withdrawal","היתרה המינימלית לחשבון שותף לבקשת תשלום"
"Paypal","Paypal"
"Paypal Email","כתובת אימייל של Paypal"
"Paypal Withdrawal method","העברת תשלום ב Paypal"
"Pending","בהמתנה"
"Percentage","אחוז"
"Personal URL","כתובת URL אישית"
"Please choose a valid payment method.","אנא בחר שיטת תשלום חוקית."
"Please click %s if you have not received your verification email.","אנא לחץ %s במידה ולא קיבלת את מייל אימות."
"Please fill out all required fields in the form below.","אנא מלא את כל שדות החובה בטופס למטה."
"The verification code entered is incorrect. Please try again.","קוד האימות שהוזן אינו תקין, אנא נסה שוב."
"Please fill in one of the links from our store such as: product URL, category URL or other pages\' URL into the text box below:","אנא מלא את אחד הלינקים מהחנות שלנו כמו כתובת URL של דף מוצר, כתובת URL של קטגוריה או כל דף אחר בחנות בתוך השדה כאן למטה:"
"Please select region, state or province","אנא בחר מחוז או מדינה"
"Please specify a payment method","אנא ציין את שיטת התשלום "
"Post on Facebook","פרסם בפייסבוק"
"Preview: ","תצוגה מקדימה: "
"Previous","הקודם"
"Process Commission","Process Commission"
"Transaction Process Email","Transaction Process Email"
"Processing","מבצע"
"Your message (use the suggestion or write your own)","ההודעה שלך (השתמש בקיים או כתוב את שלך)"
"Your  tweet (use the suggestion or write your own)","הציוץ שלך (השתמש בקיים או כתוב את שלך)"
"Product Name","שם מוצר"
"Products Name","שמות מוצרים"
"Receive notification emails","קבל הודעות במייל"
"Receive email notification","קבל הודעות במייל"
"Receive a unique affiliate link","קבל לינק שותף ייחודי"
"Recipient","מקבל"
"Refer Friends and Earn Money","עשה כסף ע"י הפניית חברים"
"Refer friends email template","תבנית אימייל להפניית חבר"
"Referrer","מפנה"
"Referrers","מפנים"
"Refresh","רענן"
"Refunded","זוכה"
"Refunded: ","זוכה: "
"Request Amount","כמות מבוקשת"
"Request Date","תאריך"
"Request Information","פרטי בקשה"
"Request Payment","בקשת תשלום"
"Request Withdrawal","בקשת העברת תשלום"
"Request withdrawal not allowed at this time.","בקשת העברת תשלום אינה מורשת כרגע"
"Date Requested","תאריך בקשה"
"Requested time","שעת בקשה"
"Require PayPal email address to sign up","דרוש כתובת מייל של פייפאל להרשמה"
"Require address to sign up","דרוש כתובת ביצירת חשבון"
"Required Fields","שדות נדרשים"
"Reset Filter","אפס סינון"
"Review your payment and pay","בדוק את התשלום שלך ובצע תשלום"
"Review your request and send","בדוק את הבקשה שלך ושלח"
"STORE VIEW","STORE VIEW"
"Sale","מכירה"
"Sales","מכירות"
"Sales Earnings","רווחים ממכירות"
"Sales Statistic","סטטיסטיקת מכירות"
"Sales Transactions","עסקאות מכירה"
"Save","שמור"
"Save Account","שמור חשבון"
"Save And Continue Edit","שמור והמשך בעריכה"
"Save Banner","שמור באנר"
"Save Withdrawal","שמור העברת תשלום"
"Save and Pay Manually","שמור ושלם ידנית"
"Search","חפש"
"Select website(s) on which affiliates can use commissions to purchase items.","בחר אתרים שהשותפים יוכלו להשתמש בעמלה שלהם לקניה באתר חנות."
"Select "No" to apply the above commission to all orders","בחירת "לא" יחל את העמלה לעיל על כל ההזמנות"
"Select "No" to apply above discount for all orders","בחירה "לא" יחל את ההנחה על כל ההזמנות"
"Select Account to Create Withdrawal","בחר חשבון ליצירת בקשת תשלום"
"Select Contacts","בחר אנשי קשר"
"Select Header Variables For Proxy Detection","Select Header Variables For Proxy Detection"
"Select an address from your address book or enter a new address.","בחר כתובת מספר הכתובות שלך או הכנס כתובת חדשה."
"Select contacts to send email","בחר אנשי קשר לשליחת אימייל"
"Select default payment method when affiliates request payment","בחר תשלום ברירת מחדל כאשר שותף מבקש תשלום"
"Send Email","שלח אימייל"
"Send Request","שלח בקשה"
"Send email to admin when a new affiliate registers","שלח מייל לאדמין כאשר שותף חדש נרשם"
"Send email to admin when a transaction is created","שלח מייל לאדמין בכל עסקה חדשה"
"Send email to admin when an affiliate requests withdrawal","שלח מייל לאדמין ששותף מבקש ביצוע תשלום לחשבון שלו"
"Send email to affiliates when transaction status is changed","שלח בקשה לשותף שסטטוס העסקה משתנה"
"Send email to affiliate when a transaction is created","שלח מייל לשותף בכל עסקה חדשה"
"Send email to new affiliate","שלח מייל לשותפים חדשים"
"Settings","הגדרות"
"Share","שתף"
"Show","הצג"
"Show Material page","Show Material page"
"Show Affiliate link in frontend","הצג קישור שותף בפרונט של האתר"
"Sign up for our Newsletters","הרשם לניוזלטר"
"Affiliate Sign-up","הרשמת שותף"
"Sign up Affiliate","רישום שותף"
"Affiliate Sign-up Email","אימייל הרשמה של השותף"
"Signup","הרשמה"
"Sign up for an Affiliate Account","הרשם לחשבון שותף"
"Affiliate Registration","רישום שותף"
"Sign-up description","תיאור הרשמה"
"Size: %sx%s","מידה: %sx%s"
"Source File","קובץ מקור"
"State/Province","מחוז"
"Status","סטטוס"
"Status History","היסטוריית סטטוס"
"Store","חנות"
"Store Credit","קרדיט חנות"
"Store Credits","דרדיט חנות"
"Store Credits History","היסטוריית קרדיט חנות"
"Store View","Store View"
"Store view","Store view"
"Street Address","רחוב"
"Street Address %s","רחוב %s"
"Subject","נושא"
"Subtract affiliate account balance immediately when a withdrawal request is created","הפחת את היתרה בחשבון של השותף מיד אחרי שבקשת תשלום נוצרת"
"Subtract commission from account balance when creditmemo is created","הפחת את העמלה מיתרת חשבון כאשר נוצר זיכוי"
"Subtract commission from account balance when order status is","הפחת את העמלה מיתרת החשבון כאשר ההזמנה על סטטוס"
"Tax","מע&#8221;מ"
"Tax Calculation","חישוב מע&#8221;מ"
"Tax class for withdrawal","חישוב מע&#8221;מ בביצוע תשלום"
"Telephone","טלפון"
"Text","טקסט"
"This account has been disabled.","החשבון הזה לא פעיל."
"The withdrawal requested cannot exceed your current balance (%s).","בקשת התשלום לא יכולה לחרוג מהיתרה הנוכחית (%s)."
"The minimum balance allowing withdrawal request is %s","בקשת תשלום מינימלית מורשת הינה %s"
"The system will transfer money to your affiliate account immediately through the paygate.","המערכת תשלח לך כסף לחשבונך מיד באמצעות Paygate."
"The withdrawal amount cannot exceed the account balance: %s.","בקשת התשלום אינה יכולה לחרוג מהיתרה של החשבון: %s."
"There are no banners available for this program.","אין באנרים זמינים לתוכנית."
"There are no items matching this selection.","אין פריטים התואמים את הבחירה."
"There are no referrers matching the criteria.","אין מפנים התואמים את המקרה."
"There was an error when paying by PayPal. Please try again or contact us for help.","צצה בעיה במהלך התשלום דרך פייפאל, אנא נסה שוב או צור קשר לעזרה."
"There was an error, please try again.","ישנה בעיה, אנא נסה שוב."
"There is no payment method on file for your account. Please update your details or contact us to solve the problem.","אין שיטת תשלום בחשבונך, אנא עדכן שיטת תשלום בחשבונך או צור קשר לפתרון הבעיה."
"This account Name is existed. Please enter other account Name.","שם החשבון קיים כבר, אנא בחר שם אחר."
"This account has already had a pending payment!","ישנה בקשת תשלום ממתינה בחשבון הזה!"
"This account has one payment waiting need to be processed.","בחשבון הזה יש בקשת תשלום ממתינה לאישור"
"This action cannot be restored. Are you sure?","לא יהיה ניתן לשחזר את הפעולה הזו, האם אתה בטוח?"
"This field will be updated to your profile.","השדה הזה יעודכן בפרופיל שלך."
"This message has been posted successfully.","ההודעה פורסמה בהצלחה"
"This month","החודש הזה"
"This payment is completed successfully.","התשלום בוצע בהצלחה."
"The payment is being processed","התשלום עדיין בתהליך"
"This payment method is not available, please choose an alternative payment method.","שיטת התשלום הזו אינה זמינה, אנא בחר שיטת תשלום אחרת."
"This payout has been transfered successfully!","התשלום עבר בהצלחה!"
"This payout has not been transfered!","התשלום הזה לא עבר"
"This week","השבוע הזה"
"This year","השנה הזו"
"Tier Commission","עמלה לרכישה כמותית"
"Time","זמן"
"Title","כותרת"
"Title: %s","כותרת: %s"
"To","ל"
"To Account","לחשבון"
"To Date","עד תאריך"
"Today","היום"
"Total","סה&#8221;כ"
"Total %s of %s transaction(s) were canceled successfully.","סה&#8221;כ %s מ %s העסקות בוטל בהצלחה."
"Total Amount","סה&#8221;כ כמות"
"Total Clicks","סה&#8221;כ קליקים"
"Total Commissions Received","סה&#8221;כ עמלות התקבלו"
"Total Commission","סה&#8221;כ עמלות"
"Total Earnings: ","סה&#8221;כ הכנסות: "
"Total Orders","סה&#8221;כ הזמנות"
"Total Paid","סה&#8221;כ שולם"
"Total Received","סה&#8221;כ התקבלו"
"Total Sales","סה&#8221;כ מכירות"
"Total Transactions: ","סה&#8221;כ עסקאות: "
"Traffic Source","מקור תנועה נכנסת"
"Traffic Summary","סיום תנועה נכנסת"
"Traffic sources","מקורות תנועה נכנסת"
"Traffic statistics","סטטיסטיקת תנועה נכנסת"
"Traffics","תנועה לחנות"
"Transaction Detail","פרטי עסקה"
"Transaction Detail:","פרטי עסקה:"
"Transaction ID","מספר עסקה"
"Transaction Id: ","מספר עסקה: "
"Transaction Information","פרטי עסקה"
"Transaction Manager","ניהול עסקה"
"New Transaction","ניהול עסקה"
"Transaction detail","תיאור עסקה"
"The transaction does not exist.","העסקה אינה קיימת."
"Transaction was canceled successfully","העסקה בוטלה בהצלחה"
"Transactions","עסקאות"
"Transaction Manager","ניהול עסקה"
"Tweet","צייץ"
"Twitter","טוויטר"
"Type","סוג"
"Type: Flash","סוג: פלאש"
"Type: Image","סוג: תמונה"
"Type: Text","סוג: טקסט"
"Unable to find an account to update","לא נמצא חשבון לעדכון"
"Unable to find a banner to save","לא נמצא באנר לשמירה"
"Unable to find payment to review","לא נמצאה בקשת תשלום לבדיקה"
"Unable to find payment to save","לא נמצא תשלום לשמירה"
"Unique Clicks","קליק ייחודי"
"Unique Clicks","קליקים ייחודיים"
"Use Default","השתמש בברירת מחדל"
"Use commission as store credit","השתמש בעמלה כקרדיט לרכישה בחנות"
"Use different commission from 2nd order of a Customer","השתמש בעמלה אחרת מההזמנה השניה ומעלה ללקוח"
"Use different discount from 2nd order of a Customer","השתמש בהנחה אחרת מההזמנה השניה ומעלה ללקוח"
"Use money on your affiliate balance","השתמש בכסף ליתרה בחשבון שותף שלך"
"Enter an amount in your balance to spend on this order","הכנס סכום מהיתרה שלך שתרצה לשלם בהזמנה הזו"
"Use standard magento image link to track banner","השתמש בקישור התמונה הרגיל של מג'נטו כדי לעקוב אחרי באנר"
"Using API","משתמש ב API"
"Used when transaction is canceled, completed or reduced commission","בשימוש כאשר עסקה מבוטלת, הושלמה או אם העמלה הופחתה"
"VIA","VIA"
"Verification","אימות"
"Verification Form","אימות מאת"
"Verified","אומת"
"Verify","אמת"
"Verify Domain","אמת שם דומיין"
"View","הצג"
"View Affiliate Account Details","הצג פרטי חשבון שותף"
"View Customer Details","בצג פרטי לקוח"
"View History","הצג היסטוריה"
"View Invoice","הצג חשבונית"
"View Order","הצג הזמנה"
"View Order Details","הצג פרטי הזמנה"
"View Product Details","הצג פרטי מוצר"
"View Transaction","הצג עסקה"
"View Transaction of ","הצג עסקה של "
"View Withdrawal for ","הצג ביצוע תשלום עבור "
"Waiting","ממתין"
"Thank you for signing up for our Affiliate program. Your registration will be reviewed and we'll inform you as soon as possible.","תודה שנרשת לתוכנית שותפים שלנו, בקשתך תבדק ואנו נעדכן אותך בהקדם האפשרי.."
"Website","אתר"
"Weekly","שבועי"
"Welcome To Our Affiliate Program!","ברוכים הבאים לתוכנית השותפים שלנו!"
"Welcome page using CMS","Welcome page using CMS"
"When there's shopping cart discount, apply","אפשר הנחה בסל הקניה כשיש כזו"
"Who pays transaction fee","מי משלם עמלת עסקה"
"Withdrawal Amount","סה&#8221;כ להעברה"
"Withdrawal Description","תיאור ההעברה"
"Withdrawal Email","אימייל להעברת תשלום"
"Withdrawal Information","פרטי ההעברה"
"Withdrawal Method","שיטת ההעברה"
"New Withdrawal","העברת תשלום חדשה"
"Withdrawal detail","פרטי ההעברה"
"Withdrawal History","היסטוריית העברות"
"Withdrawal information","פרטי העברה"
"Withdrawal not found!","העברת תשלום לא נמצאה!"
"Withdrawal was successfully canceled!","העברת התשלום בוטלה בהצלחה!"
"Your withdrawal request has been deleted.","בקשתך להעברת תשלום בוטלה."
"Your withdrawal request has been saved.","בקשתך להעברת תשלום נשמרה."
"Withdrawals","העברות תשלום"
"Withdrawal Configuration","הגדרות העברת תשלום"
"Withdrawal History","היסטורית העברות"
"Withdrawal Manager","ניהול העברות"
"XML","XML"
"Yahoo","Yahoo"
"Yearly","שנתי"
"Yearly additional commissions","תוספת עמלה שנתית"
"Yes","כן"
"You are having a pending request!","יש לך בקשה בהמתנה!"
"You have logged in successfully.","התחברת בהצלחה."
"You are spending","הינך מנצל"
"You are using a trial version of %s extension. It will be expired on %s.","הינך משתמש בגירסת ניסיון %s של התוסף. תקופת הניסיון תסתיים ב %s."
"You can change this email address on the Edit Account page.","תוכל לשנות את כתובת המייל הזו בעמוד עריכת חשבון."
"You can use this email address.","באפשרותך להשתמש בכתובת המייל הזו."
"You already had an affiliate account, please log in.","יש ברשותך חשבון שותף כבר, אנא התחבר למערכת."
"Your account information has been saved.","פרטי החשבון שלך נשמרו בהצלחה."
"Your affiliate registration is awaiting for approval. Please be patient.","בקשתך להצטרפות לתוכנית שותפים ממתינה לאישור."
"Your affiliate account is currently disabled. Please contact us to resolve this issue.","חשבון השותף שלך אינו פעיל כרגע, צורך איתנו קשר לפתרון הבעיה."
"Your affiliate store credit has been applied successfully","הקרדיט שלך הוזן בהצלחה"
"Your payout was not transfered and saved!","בקשת התשלום לא נשמרה"
"Your personal affiliate URL","כתובת ה URL האישית שלך"
"Your request has been cancelled successfully!","בקשתך בוטלה בהצלחה!"
