"%s","%s"
"%s already exist","%s כבר קיימים"
"%s already exists","%s כבר קיים"
"-- Please Select --","-- בחר מהרשימה --"
"Deleting a %1$s will not delete the information associated with the %1$s (e.g. categories, products, etc.), but the %1$s will not be able to be restored. It is suggested that you create a database backup before deleting the %1$s.","Deleting a %1$s will not delete the information associated with the %1$s (e.g. categories, products, etc.), but the %1$s will not be able to be restored. It is suggested that you create a database backup before deleting the %1$s."
"Design","עיצוב"
"Design Change","שינוי עיצוב"
"Developer","מפתח"
"Developer Client Restrictions","Developer Client Restrictions"
"Disable email communications","Disable email communications"
"Disable modules output","Disable modules output"
"Display demo store notice","Display demo store notice"
"Duplicate Of Template Name","כפילות בשם התבנית"
"Edit Design Change","ערוך שינוי עיצוב"
"Edit Store View","ערוך מבט חנות"
"Edit Store","ערוך חנות"
"Edit Website","ערוך אתר"
"Empty identifier field name","Empty identifier field name"
"Empty main table name","Empty main table name"
"Enable Prototype Deprecation Log","Enable Prototype Deprecation Log"
"Enabled","פעיל"
"Enabled for Admin","פעיל למנהל"
"Enabled for Frontend","מופעל באתר"
"Error in file: ""%s"" - %s","שגיאה בקובץ: ""%s"" - %s"
"Error while saving. Please try again later.","שגיאה בשמירה. אנא נסה שוב מאוחר יותר"
"Error: Passwords do not match","Error: Passwords do not match"
"Exception Log File Name","Exception Log File Name"
"First Day of Week","יום ראשון של השבוע"
"Flush Cache Storage","רוקן אחסון המטמון"
"Flush Magento Cache","רוקן מטמון של מג'נטו"
"Footer","תחתית הדף"
"Forgot Password Email Sender","Forgot Password Email Sender"
"Forgot Password Email Template","Forgot Password Email Template"
"General","כללי"
"General Settings","הגדרות כלליות"
"General contact","איש קשר כללי"
"Global","גלובלי"
"HTML Head","כותר HTML"
"Header","כותרת"
"Host","שרת מארח"
"How many Links to display at once","כמה קישורים להציג בבת אחת"
"Id path for specified store","Id path for specified store"
"If the Current Frame Position does not cover Utmost Pages, will render Link to Current Position plus/minus this Value","If the Current Frame Position does not cover Utmost Pages, will render Link to Current Position plus/minus this Value"
"Incorrect credit card expiration date","Incorrect credit card expiration date"
"Invalid base url type","Invalid base url type"
"Invalid block name to set child %s: %s","Invalid block name to set child %s: %s"
"Invalid block type: %s","סוג בלוק מידע לא תקני: %s"
"Invalid block: %s","בלוק מידע לא תקני: %s"
"Invalid layout update argument, expected Mage_Core_Model_Layout_Element","Invalid layout update argument, expected Mage_Core_Model_Layout_Element"
"Invalid layout update handle","Invalid layout update handle"
"Invalid messages storage ""%s"" for layout messages initialization","Invalid messages storage ""%s"" for layout messages initialization"
"Invalid transactional email code: ","Invalid transactional email code: "
"Invalid websites configuration path: %s","Invalid websites configuration path: %s"
"JavaScript Settings","הגדרות JavaScript"
"Layout","תצורה"
"Leave empty for access from any location","השאר ריק לגישה מכל מקום"
"Locale","שפה"
"Locale options","אפשרויות שפה"
"Log Settings","Log Settings"
"Logging from Mage::log(). File is located in {{base_dir}}/var/log","Logging from Mage::log(). File is located in {{base_dir}}/var/log"
"Logging from Mage::logException(). File is located in {{base_dir}}/var/log","Logging from Mage::logException(). File is located in {{base_dir}}/var/log"
"Login is Case Sensitive","פרטי כניסה רגישים לגודל האותיות"
"Logo Image Alt","Logo Image Alt"
"Logo Image Src","Logo Image Src"
"Mail Sending Settings","הגדרות שליחת מיילים"
"Manage Stores","ניהול חנויות"
"Match expressions in the same order as displayed in the configuration.","Match expressions in the same order as displayed in the configuration."
"Maximum length exceeded.","Maximum length exceeded."
"Merge CSS Files (beta)","Merge CSS Files (beta)"
"Merge JavaScript Files (beta)","Merge JavaScript Files (beta)"
"Miscellaneous HTML","Miscellaneous HTML"
"Miscellaneous scripts","Miscellaneous scripts"
"Model class does not exist: %s","Model class does not exist: %s"
"Model collection resource name is not defined","Model collection resource name is not defined"
"Module ""%1$s"" can not be depended from ""%2$s""","Module ""%1$s"" can not be depended from ""%2$s"""
"Module ""%1$s"" requires module ""%2$s""","Module ""%1$s"" requires module ""%2$s"""
"Name","שם"
"New Design Change","שינוי עיצוב חדש"
"New Store View","תצוגת חנות חדשה"
"New Store","חנות חדשה"
"New Website","אתר חדש"
"No","לא"
"Package","חבילה"
"Pagination","דפדוף"
"Pagination Frame","מסגרת הדפדוף"
"Pagination Frame Skip","קפיצת מסגרת הדפדוף"
"Please choose to register or to checkout as a guest","Please choose to register or to checkout as a guest"
"Please define flag code.","Please define flag code."
"Please enter 6 or more characters. Leading or trailing spaces will be ignored.","אנא הקלד 6 או יותר תווים. רווחים לפני או אחרי לא ילקחו בחשבון"
"Please enter 6 or more characters.","יש להקליד 6 תווים או יותר."
"Please enter a number greater than 0 in this field.","בשדה זה יש להקליד מספר הגדול מ-0"
"Please enter a valid $ amount. For example $100.00.","בבקשה הכנס סכום תקין לדוגמא $100.00."
"Please enter a valid URL. For example http://www.example.com or www.example.com","אנא הקלד כתובת חוקית, לדוגמא: http://www.example.com or www.example.com"
"Please enter a valid URL. http:// is required","אנא הקלד כתובת תקנית. http:// נדרש"
"Please enter a valid credit card number.","אנא הכנס מספר כרטיס אשראי תקין."
"Please enter a valid credit card verification number.","Please enter a valid credit card verification number."
"Please enter a valid date.","אנא הכנס תאריך חוקי."
"Please enter a valid email address. For example johndoe@domain.com.","הקלד כתובת דואר אלקטרוני תקינה, לדוגמא: johndoe@domain.com."
"Please enter a valid number in this field.","בשדה זה יש להקליד מספר חוקי."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","אנא הקלד מספר טלפון תקני, לדוגמא: (123) 456-7890 או 123-456-7890"
"Please enter a valid social security number. For example 123-45-6789.","אנא הקלד מספר ביטוח לאומי/ת.ז. תקני, לדוגמא: 123456789"
"Please enter a valid zip code. For example 90602 or 90602-1234.","אנא ציין מיקוד. לדוגמא 69020"
"Please enter a valid zip code.","אנא הכנס מיקוד תקין."
"Please enter valid password.","אנא הכנס סיסמא תקינה."
"Please input a valid CSS-length. For example 100px or 77pt or 20em or .5ex or 50%","Please input a valid CSS-length. For example 100px or 77pt or 20em or .5ex or 50%"
"Please make sure that Base URL ends with '/' (slash), e.g. http://yourdomain/magento/","Please make sure that Base URL ends with '/' (slash), e.g. http://yourdomain/magento/"
"Please make sure your passwords match.","אנא ודא שסיסמאות תואמות."
"Please select State/Province.","אנא בחר מדינה/אזור."
"Please select an option.","אנא בחר אפשרות."
"Please select one of the above options.","אנא בחר אחת האפשרויות לעיל."
"Please select one of the options.","אנא בחר אחת האפשרויות."
"Please specify payment method.","אנא ציין שיטת תשלום."
"Please specify shipping method.","אנא ציין שיטת שילוח."
"Please use letters only (a-z or A-Z) in this field.","Please use letters only (a-z or A-Z) in this field."
"Please use letters only (a-z) in this field.","Please use letters only (a-z) in this field."
"Please use numbers only in this field. please avoid spaces or other characters such as dots or commas.","אנא השתמש בספרות (0-9) בלבד. המנע משימוש ברווחים, פסיקים או נקודות."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Please use only letters (a-z or A-Z), numbers (0-9) or underscore(_) in this field, first character should be a letter."
"Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","אנא השתמש בספרות (0-9) ואותיות (א-ת, a-z) בלבד. המנע משימוש ברווחים ותווים אחרים."
"Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.","אנא השתמש בספרות (0-9), אותיות (א-ת, a-z), רווחים ו # בלבד בשדה זה."
"Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","אנא השתמש בספרות (0-9), אותיות (א-ת, a-z), או קו תחתון (_) , בשדה זה. תו ראשון צריך להיות אות."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","אנא השתמש בפורמט תאריך מסוג dd/mm/yyyy, לדוגמא: 17/03/2006 עבור ה- 17 למרץ, 2006."
"Please wait, loading...","אנא המתן, טוען..."
"Polls","סקרים"
"Port (25)","פורט (25)"
"Profiler","Profiler"
"Redirect to Base URL if requested URL doesn't match it","Redirect to Base URL if requested URL doesn't match it"
"Request path for specified store","Request path for specified store"
"Requested invalid store ""%s""","Requested invalid store ""%s"""
"Resource is not set","מקור לא הוגדר"
"Return-Path Email","Return-Path Email"
"Root Category","קטגוריית שורש"
"Sales representative","נציג מכירות"
"Save","שמור"
"Save Store View","שמור תצוגת חנות"
"Save Store","שמור חנות"
"Save Website","שמור אתר"
"Search Engines Optimization","אופטימיזציית מנועי חיפוש"
"Secure","מאובטח"
"Security","אבטחה"
"Select Date","בחר תאריך"
"Sender email","דואר אלקטרוני השולח"
"Sender name","שם השולח"
"Services","שירותים"
"Session Cookie management","Session Cookie management"
"Session Lifetime (seconds)","Session Lifetime (seconds)"
"Session Validation Settings","Session Validation Settings"
"Set Return-Path","Set Return-Path"
"Set as default","קבע כברירת מחדל"
"Skin (Images / CSS)","סקין (תמונות / CSS)"
"Sort order","מיון לפי"
"Specified date/time ""%1$s"" do not match format ""%2$s"".","Specified date/time ""%1$s"" do not match format ""%2$s""."
"Specify either category or product, or both.","Specify either category or product, or both."
"Start date can\'t be greater than end date","Start date can\'t be greater than end date"
"Startup page","עמוד פתיחה"
"Status","סטאטוס"
"Store","חנות"
"Store Contact Address","Store Contact Address"
"Store Contact Information","Store Contact Information"
"Store Contact Telephone","Store Contact Telephone"
"Store Email Addresses","חנות - כתובות דואר אלקטרוני"
"Store Information","חנות - מידע"
"Store Name","חנות - שם"
"Store View","תצוגת חנות"
"Store View Information","תצוגת חנות - מידע"
"Store View Name","תצוגת חנות - שם"
"Store View was successfully saved","תצוגת חנות נשמרה בהצלחה"
"Store code should contain only letters (a-z), numbers (0-9) or underscore(_), first character should be a letter","קוד חנות צריך לכלול אותיות (a-z), ספרות (0-9) או קו תחתי (_), תו ראשון צריך להיות אות."
"Store doesn't exist","חנות אינה קיימת"
"Store view doesn't exist","תצוגת חנות אינה קיימת"
"Store view was successfully deleted.","תצוגת חנות נמחקה בהצלחה."
"Store was successfully deleted.","החנות נמחקה בהצלחה"
"Store was successfully saved","החנות נשמרה בהצלחה"
"Store with the same code","חנות עם אותו הקוד"
"System","מערכת"
"System Log File Name","System Log File Name"
"Template Name must be not empty","Template Name must be not empty"
"Template Path Hints","Template Path Hints"
"Template Variables","Template Variables"
"Templates","תבניות"
"The %s you entered is invalid. Please make sure that it follows ""http://domain.com/"" format.","The %s you entered is invalid. Please make sure that it follows ""http://domain.com/"" format."
"Themes","ערכות (Themes)"
"There are no recurring profiles yet.","איך לך פרופילים מתחדשים עדיין"
"This category and all its child elements","This category and all its child elements"
"This category and its child categories only","קטגוריה זאת ותתי הקטגוריות שלה בלבד"
"This category and its products only","קטגוריה זאת ומוצריה בלבד"
"This category only","קטגוריה זו בלבד"
"This is a required field.","שדה זה הינו חובה."
"This store cannot be deleted","לא ניתן למחוק חנות זו"
"This store cannot be deleted.","לא ניתן למחוק חנות זו."
"This store view cannot be deleted","לא ניתן למחוק תצוגת חנות זו"
"This store view cannot be deleted.","לא ניתן למחוק תצוגת חנות זו."
"This website cannot be deleted","לא ניתן למחוק אתר זה"
"This website cannot be deleted.","לא ניתן למחוק אתר זה."
"This will be displayed just before body closing tag","This will be displayed just before body closing tag"
"This will be included before head closing tag in page HTML","This will be included before head closing tag in page HTML"
"Timezone","איזור זמן"
"Title Prefix","Title Prefix"
"Title Suffix","Title Suffix"
"Translate Inline","Translate Inline"
"Translate cache should be disabled for both Frontend and Admin inline translations","Translate cache should be disabled for both Frontend and Admin inline translations"
"Translations","תרגומים"
"Unable to delete store view. Please, try again later.","לא יכול למחוק מבט חנות. אנא נסה מאוחר יותר."
"Unable to delete store. Please, try again later.","לא יכול למחוק חנות. אנא נסה מאוחר יותר."
"Unable to delete website. Please, try again later.","לא יכול למחוק אתר. אנא נסה מאוחר יותר"
"Unable to proceed. Please, try again","לא יכול להמשיך. אנא נסה שוב"
"Unknown scope ""%s""","תחום/טווח לא ידוע ""%s"""
"Unsecure","לא מאובטח"
"Url Options","אפשרויות כתובת Url"
"Use HTTP Only","Use HTTP Only"
"Use SID on Frontend","Use SID on Frontend"
"Use Secure URLs in Admin","Use Secure URLs in Admin"
"Use Secure URLs in Frontend","Use Secure URLs in Frontend"
"Use Web Server Rewrites","Use Web Server Rewrites"
"Use custom admin URL","Use custom admin URL"
"Validate HTTP_USER_AGENT","Validate HTTP_USER_AGENT"
"Validate HTTP_VIA","Validate HTTP_VIA"
"Validate HTTP_X_FORWARDED_FOR","Validate HTTP_X_FORWARDED_FOR"
"Validate REMOTE_ADDR","Validate REMOTE_ADDR"
"Validation failed.","Validation failed."
"Values less than 60 are ignored. Please note, that changes will apply after logout.","Values less than 60 are ignored. Please note, that changes will apply after logout."
"Variable Code must be unique.","Variable Code must be unique."
"Web","ווב"
"Website","אתר"
"Website Information","פרטי האתר"
"Website Name","שם האתר"
"Website code should contain only letters (a-z), numbers (0-9) or underscore(_), first character should be a letter","Website code should contain only letters (a-z), numbers (0-9) or underscore(_), first character should be a letter"
"Website doesn't exist","אתר אינו קיים"
"Website was successfully deleted.","האתר נמחק בהצלחה."
"Website was successfully saved","אתר נשמר בהצלחה"
"Website with the same code","אתר עם אותו הקוד"
"Weekend Days","ימות השבוע"
"Welcome Text","טקסט ברוכים הבאים"
"Wrong number of arguments for %s","כמות פרמטרים שגויה ל %s"
"Yes","כן"
"Your design change for the specified store intersects with another one, please specify another date range","Your design change for the specified store intersects with another one, please specify another date range"
"Your order can not be completed at this time as there is no payment methods available for it.","Your order can not be completed at this time as there is no payment methods available for it."
"Your order can not be completed at this time as there is no shipping methods available for it. Please make neccessary changes in your shipping address.","Your order can not be completed at this time as there is no shipping methods available for it. Please make neccessary changes in your shipping address."
"Your session has been expired, you will be relogged in now.","Your session has been expired, you will be relogged in now."
