"%s","%s"
"Moneybooker: This email is invalid.","Moneybooker: This email is invalid."
"Moneybooker: Transfer failed.","Moneybooker: Transfer failed."
"Moneybookers merchant email","Moneybookers merchant email"
"Monthly","חודשי"
"N/A","N/A"
"Name","שם"
"Need at least one active method payment","חייב לפחות שיטת תשלום אחת"
"New Address","כתובת חדשה"
"New Bank Account","חשבון בנק חדש"
"New Password","סיסמה חדשה"
"No","לא"
"Not verified","לא מאומת"
"Offline Payment","תשלום אופליין"
"Offline Payment Method","שיטת תשלום אופליין"
"Paid sucessful","שולם בהצלחה"
"PayPal Payment","תשלום בפייפאל"
"PayPal Payment Method","שיטת תשלום פייפאל"
"PayPal merchant email","פייפאל מרצ'נט מייל"
"Payment Address","כתובת תשלום"
"Payment Fee Type","סוג עמלת תשלום"
"Payment Method","שיטת תשלום"
"Payout Amount","כמות תשלומים"
"Payout type","סוג תשלום"
"Paypal","פייפאל"
"Paypal Email","כתובת המייל של הפייפאל"
"Pending","בהמתנה"
"Period of auto payout","תקופה לתשלום אוטומטי"
"Please chose an available payment method!","אנא בחר שיטת תשלום!"
"Please fill out all required fields in the form below.","אנא מלא את כל השדות הנדרשים בטופס כאן למטה."
"Please select region, state or province","אנא בחר מחוז ואמדינה"
"Processing","בטיפול"
"Receive Notification Email","קבל עדכונים במייל"
"Receive money by Recurring Payment","קבל תשלום בתשלומים חוזרים"
"Recurring Payment ","תשלום מחזורי "
"Recurring Payment Configuration","הגדרות תשלום מחזורי"
"Recurring Payment Method","שיטת תשלום מחזורי"
"Recurring pay for account that has a pending request","Recurring pay for account that has a pending request"
"Date Requested","תאריך בקשה"
"Require Authentication","דורש אימות"
"Required Fields","שדות חובה"
"Routing Code: %s","Routing Code: %s"
"SWIFT Code: %s","SWIFT Code: %s"
"Sandbox Mode","Sandbox Mode"
"Save","שמור"
"Select an address from your address book or enter a new address.","בחר כתובת מספר הכתובות שלך או הזן כתובת חדשה"
"Select an existing bank account or enter a new account.","בחר חשבון בנק קיים או צור חדש."
"Select the payment method","בחר את שיטת התשלום"
"Send Email Notification to Affiliate","שלח עדכונים במייל לשותף"
"Send Email to Admins","של מייל לאדמין"
"Send Request","שלח בקשה"
"State/Province","מחוז"
"Status","סטטוס"
"Street Address","רחוב"
"Street Address %s","רחוב %s"
"Subject of notification email","כותרת מייל עדכון"
"Telephone","טלפון"
"The withdrawal requested cannot exceed your current balance (%s).","סכום ההעברה אינו יכול להיות יותר מהיתרה שלך (%s)."
"The number of days if you chose Custom period","מספר הימים אם אתה בוחר תקופה מותאמת אישית"
"There is no payment method on file for your account. Please update your details or contact us to solve the problem.","אין לך שיטת תשלום בחשבון שלך. אנא עדכן את הפרטים שלך או צור איתנו קשר לפתרון הבעיה."
"This field will be updated to your profile.","השדה הזה יתעדכן בפרופיל שלך."
"This payment method is not available, please choose an alternative payment method.","שיטת התשלום הזו אינה זמינה, אנא בחר שיטת תשלום אחרת."
"Transaction ID","מזהה עסקה ID"
"Transaction Id: ","מזהה עסקה Id: "
"Transfer Information","פרטי העברה"
"Use Recurring Payment Moneybookers API","Use Recurring Payment Moneybookers API"
"Use Recurring Payment PayPal API","Use Recurring Payment PayPal API"
"Use your MoneyBookers Merchant Email Default on Moneybookers Config","Use your MoneyBookers Merchant Email Default on Moneybookers Config"
"Use your PayPal Merchant Email Default on Paypal Config","Use your PayPal Merchant Email Default on Paypal Config"
"Verified","מאומת"
"Weekly","שבועי"
"Who pay fee","מי משלם עמלה"
"Withdrawal Information","פרטי ההעברה"
"Yearly","שנתי"
"Yes","כן"
"Yes if you want to transfer money to your affiliate account immediately through the paygate","כן אם אתה מעוניין להעביר את הכסף לחשבון השותף שלך במיידי"
"You are having a pending request!","יש לך בקשה ממתינה!"
"You can change this email address on the Edit Account page.","באפשרותך לשנות את כתובת האימייל בעמוד עריכת חשבון."
"You need to upload an image of  your Bank Statement to verify your account.","עליך להעלות מסמך סרוק לאימות חשובן הבנק שלךי"
"You need to upload an image of your house or your address in any reasonable documents to verify your address.","עליך להעלות תמונה סרוקה של מסמך כלשהו שמאמת את הכתובת שלך"
"Your request has been sent to admin for approval.","בקשתה נשלחה למנהל האתר לאישור."
"Zip/Postal Code","מיקוד"
