"%s was added to your shopping cart.","פריט '%s' נוסף בהצלחה לסל הקניות."
"%s was updated in your shopping cart.","%s עודכן בסל הקניות שלך."
"* Required Fields","* שדות חובה"
"Delete Condition","מחק תנאי"
"Details","פרטים"
"Disable Onepage Checkout","בטל תשלום בדף אחד"
"Disabled","לא פעיל"
"Discount Codes","קופון הנחה"
"Display Cart Summary","הצג סיכום סל הקניות"
"Display Shopping Cart Sidebar","הצג מודול סל הקניות"
"Display item quantities","הצג כמויות פריט"
"Display number of items in cart","הצג כמות פריטים בסל"
"Easy access to your order history and status","גישה קלה להיסטוריית ההזמנות והסטאטוס"
"Edit","עריכה"
"Edit Address","ערוך כתובת"
"Edit Billing Address","ערוך כתובת החיוב"
"Edit Items","ערוך פריטים"
"Edit Shipping Address","ערוך כתובת למשלוח"
"Edit Terms and Conditions","Edit Terms and Conditions"
"Edit Your Cart","ערוך את הסל שלך"
"Edit item","ערוך פריט"
"Edit item parameters","ערוך פרמטרים של פריט"
"Email Address","כתובת דואר אלקטרוני"
"Enable Terms and Conditions","Enable Terms and Conditions"
"Enabled","פעיל"
"Enter a New Address","הכנס כתובת חדשה"
"Enter your coupon code if you have one.","הקלד את קוד הקופון, במידה ויש לך."
"Enter your destination to get a shipping estimate.","הכנס את יעדך לקבלת הערכת עלות המשלוח"
"Error while deleting this condition. Please try again later.","Error while deleting this condition. Please try again later."
"Error while saving this condition. Please try again later.","Error while saving this condition. Please try again later."
"Estimate Shipping and Tax","עלות משלוח ומע""מ מוערכת"
"Excl. Tax","לא כולל מע""מ"
"Fast and easy check out","תשלום מהיר וקל"
"Fax","פקס"
"Forgot an Item?","שכחת פריט כלשהו?"
"Forgot your password?","שכחת את הסיסמא?"
"Get a Quote","קבל הצעת מחיר"
"Grand Total:","סה""כ:"
"Grouped product image","תמונה למוצר מקובץ"
"HTML","HTML"
"ID","ID"
"Incl. Tax","כולל מע""מ"
"Invalid data","נתונים לא תקניים"
"Invalid email address ""%s""","כתובת דואר אלקטרוני ""%s"" לא תקינה"
"Invalid shipping method.","שיטת משלוח שגויה."
"Items","פריטים"
"Load customer quote error","שגיאה בטעינת הצעת מחיר ללקוח"
"Loading next step...","טוען שלב הבא..."
"Login","כניסה"
"Manage Checkout Terms and Conditions","Manage Checkout Terms and Conditions"
"Maximum display Recently added item(s)","מספר מירבי של פריטים שנוספו לאחרונה המוצג במודול"
"Maximum qty allowed for Shipping to multiple addresses is %s","כמות המכסימלית המותרת למשלוח למספר יעדים היא %s"
"Move to Wishlist","העבר לרשימת המשאלות"
"My Account","החשבון שלי"
"My Cart","הסל שלי"
"My Cart (%s item)","הסל שלי (%s פריט)"
"My Cart (%s items)","הסל שלי (%s פריטים)"
"My Cart Link","לינק לסל שלי"
"New Address","כתובת חדשה"
"New Condition","תנאי חדש"
"Order #","הזמנה #"
"Order Review","סקירת הזמנה"
"Order Success","הזמנתך בוצעה בהצלחה"
"Other items in your order","פריטים אחרים בהזמנתך"
"Password","סיסמא"
"Payment Failed Email Reciever","כתובת דואר אלקטרוני להודעה על כשל התשלום"
"Payment Failed Email Sender","כתובת השולח של הודעה על כשל בתשלום"
"Payment Failed Emails","כתובות להודעה על כשל התשלום"
"Payment Failed Template","תבנית ההודעה על כשל בתשלום"
"Payment Information","פרטי התשלום"
"Payment Method","בחר שיטת תשלום"
"Payment method is not defined","שיטת תשלום לא מוגדרת"
"Place Order","בצע הזמנה"
"Please <a href=""%s"">continue shopping</a>.","באפשרותך <a href=""%s"">להמשיך בקניות</a>."
"Please agree to all Terms and Conditions before placing the order.","יש להסכים עם תנאים ומדיניות האתר לפני ביצוע ההזמנה"
"Please agree to all Terms and Conditions before placing the orders.","יש להסכים עם תנאים ומדיניות האתר לפני ביצוע ההזמנות"
"Please enter a valid zip code. For example 90602 or 90602-1234.","אנא ציין מיקוד. לדוגמא 69020"
"Please log in below:","אנא הכנס את פרטי הזיהוי באתר:"
"Please select region, state or province","בחר אזור, מדינה או מחוז"
"Please select shipping address for applicable items","אנא בחר כתובת המשלוח לפריטים הרלונטיים"
"Please select shipping methods for all addresses","אנא בחר שיטות משלוח לכל הכתובות"
"Price","מחיר"
"Proceed to Checkout","סיימתי, רוצה לשלם"
"Product","מוצר"
"Product Name","שם המוצר"
"Product does not exist","מוצר לא קיים"
"Qty","כמות"
"Quote Lifetime (days)","תוקף הצעת מחיר (ימים)"
"Recently added item(s)","פריט(ים) שהוספת לאחרונה"
"Register","הירשם"
"Register and save time!","הירשם וחסוך בזמן!"
"Register to Create an Account","הרשם כדי ליצור חשבון"
"Register with us for future convenience:","הרשם לשירות שלנו למען נוחיותך בעתיד:"
"Remove","הסר"
"Remove Item","הסר פריט"
"Remove Product","הסר מוצר"
"Remove item","הסר פריט"
"Review Order","סקור ההזמנה"
"Review Order - %s","צפה בהזמנה - %s"
"Sales","מכירות"
"Save Condition","שמור תנאי"
"Save in address book","שמור בספר הכתובות"
"Select Address","בחר כתובת"
"Select Addresses","בחר כתובות"
"Select Shipping Method","בחר שיטת המשלוח"
"Select State/Province...","בחר אזור/מחוז..."
"Select a billing address from your address book or enter a new address.","בחר פרטי החיוב מתוך הרשימה או הזן פרטים חדשים."
"Select a shipping address from your address book or enter a new address.","בחר פרטי המשלוח מתוך הרשימה או הזן פרטים חדשים."
"Send Payment Failed Email Copy Method","שיטת שליחת העתק של הודעה על כשל התשלום"
"Send Payment Failed Email Copy To","שלח העתק של הודעה על כשל התשלום אל"
"Send To","שלח אל"
"Separate by "","".","הפרד על ידי "",""."
"Set customer for shopping cart","קבע לקוח לסל הקניות"
"Set customer's addresses in shopping cart","קבע כתובות הלקוח בסל הקניות"
"Set payment method","קבע שיטת התשלום"
"Set shipping method","קבע שיטת המשלוח"
"Ship to Multiple Addresses","משלוח למספר כתובות"
"Ship to different address","שלח לכתובת שונה"
"Ship to this address","שלח לכתובת זו"
"Shipping Address","כתובת למשלוח"
"Shipping Information","פרטי המשלוח"
"Shipping Method","בחר שיטת משלוח"
"Shipping Methods","בחר שיטת משלוח"
"Shipping method has not been selected yet","שיטת המשלוח עדיין לא נבחרה"
"Shipping selection is not applicable","אין צורך בבחירת שיטת המשלוח"
"Shipping To","משלוח עבור"
"Shipping information","פרטי משלוח"
"Shipping method has not been selected yet","שיטת משלוח לא נבחרה עדיין"
"Shipping methods in shopping cart","שיטות המשלוח בסל הקניות"
"Shipping selection is not applicable.","בחירת שיטות משלוח לא זמינה."
"Shopping Cart","סל קניות"
"Shopping Cart Sidebar","מודול סל קניות"
"Shopping Cart is Empty","סל הקניות ריק"
"Show Content as","הצג תוכן כ-"
"Some of the products you requested are not available in the desired quantity","חלק מהמוצרים שביקשת להזמין לא זמינים בכמות המבוקשת"
"Some of the products you requested are unavailable","חלק מהמוצרים שביקשת להזמין לא זמינים כרגע"
"Sorry, Onepage Checkout is disabled.","מצטערים, אפשרות תשלום בדף אחד אינה פעילה."
"Sorry, guest checkout is not enabled. Please try again or contact store owner.","מצטערים, לא ניתן לבצע רכישות ללא הרשמה. אנא נסה שנית או פנה למנהל האתר."
"Sorry, no quotes are available for this order at this time.","אנו מתנצלים. בשלב זה אין הצעות מחיר להזמנה זו."
"State/Province","אזור/מחוז"
"Status","סטאטוס"
"Store View","תצוגת חנות"
"Street Address","רחוב"
"Street Address","רחוב"
"Submitting order information...","שולח פרטי ההזמנה..."
"Subtotal","סך ביניים"
"Telephone","טלפון"
"Terms and Conditions","Terms and Conditions"
"Terms and Conditions Information","Terms and Conditions Information"
"Terms and conditions","Terms and conditions"
"Text","טקסט"
"Thank you for your purchase!","אנו מודים על הזמנתך!"
"There are <a href=""%s"">%s items</a> in your cart.","ישנם <a href=""%s""><strong>%s פריטים</strong></a> בסל הקניות שלך."
"There is <a href=""%s"">1 item</a> in your cart.","יש <a href=""%s""><strong>פריט 1</strong></a> בסל הקניות שלך."
"There is already a customer registered using this email address","כבר קיים לקוח רשום המשתמש בכתובת דואר אלקטרוני זו"
"There is already a customer registered using this email address. Please login using this email address or enter a different email address to register your account.","כבר קיים לקוח רשום תחת כתובת מייל זו, אנא התחבר לחשבונך"
"There was an error processing your order. Please contact us or try again later.","התרחשה שגיאה במהלך ביצוע הזמנתך. אנא צור קשר או נסה מאוחר יותר."
"This condition no longer exists","תנאי זה לא קיים עוד"
"Total","סה""כ"
"Total for this address","סה""כ לכתובת הנבחרת"
"Unit Price","מחיר ליחידה"
"Update Qty &amp; Addresses","עדכון כמות וכתובות"
"Update Shopping Cart","עדכן סל הקניות שלך"
"Update Shopping Cart ","עדכן שינויים בסל"
"Update Total","עדכן סך הכל"
"Use Billing Address","השתמש בכתובת החיוב"
"We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress.","הזמנתך התקבלה ובקרוב תקבל אישור עם פרטי ההזמנה לכתובת דואר אלקטרוני שהגדרת. כשהמשלוח יצא, תקבל הודעה נוספת עם קישור למעקב אודות התקדמות המשלוח."
"You have no items in your shopping cart.","סל הקניות שלך ריק"
"You will receive an order confirmation email with details of your order and a link to track its progress.","אישור הזמנה ישלח לכתובת דואר אלקטרוני שצויינה עם קישור למעקב אחר התקדמות ההזמנה."
"Your Checkout Progress","התקדמות התשלום שלך"
"Your order # is: %s.","מס' ההזמנה שלך: %s"
"Your order has been received.","הזמנתך התקבלה."
"Your order number is ","מספר ההזמנה שלך "
"Your recurring payment profiles:","פרופילים מתחדשים שלך לתשלום:"
"Zip/Postal Code","מיקוד"
"Free","חינם"
"Cart","סל קניות"
"Item was updated successfully.","הסל עודכן בהצלחה"
"Go to Checkout","עבור לקופה"
"Item was removed successfully.","הפריט הוסר"
"View Shopping Cart","לרשימת הקניות"
"Are you sure you would like to remove this item ?","האם אתה בטוח שברצונך להסיר מוצר זה מסל הקניות שלך?"
"Edit your Cart","ערוך את הרשימה שלך"
"Some item are nor in stock","ישנם פריטים שאינם במלאי"
"Have a Coupon?","יש לך קופון?"
"Enter it Here...","הקלד אותו כאן..."
"Items in your order","פריטים שהזמנת"
"My Shopping Cart","עגלת הקניות שלי"
"Item Description","תיאור המוצר"
"Do you have a coupon code?","יש ברשותך קופון הנחה?"
"Enter the coupon code","הקלידו את קוד הקופון"
"Apply Coupon","הפעל קופון"
"Have an account?","יש לכם חשבון?"
"Save for later use","שמור אותי לשימוש עתידי"
"Delivery Comment","הערות משלוח"
"PayPal Payment","תשלום בפייפאל"
"PayPal Payment","תשלום בפייפאל"
"PayPal Payment","תשלום בפייפאל"
"You agree to receive offers and discounts by email","מאשר/ת לקבל מבצעים והנחות במייל"
"To Shopping Bag","לסל הקניות"
"To Checkout","לקופה"
"Do you have a discount coupon?","יש ברשותך קופון הנחה?"
"Additional Products","מוצרים משלימים"
